,Unnamed: 0,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,movie ticket_label,medium pizza_label,coca cola_label,oven_label,shampoo_label
105,105,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",480,450,40,9500,350,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Less Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Accurate,more than 20% over,more than 20% over,accurate,more than 20% over,5-20% over
106,106,25-34,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",450,350,42,12000,350,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Indifferent,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,more than 20% over,5-20% over,accurate,more than 20% over,5-20% over
107,107,18-24,Female,Kolkata,"Below Rs. 50,000",No,300,250,45,7800,95,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Pre Planned,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Accurate,Accurate,Underestimated,5-20% over,5-20% under,5-20% over,5-20% over,more than 20% under
108,108,25-34,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",600,500,50,8500,300,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Accurate,Accurate,more than 20% over,more than 20% over,more than 20% over,more than 20% over,accurate
109,109,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,400,350,60,10000,150,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,more than 20% over,5-20% over,more than 20% over,more than 20% over,more than 20% under
110,110,25-34,Male,Mumbai,"Above Rs. 5,00,000","Yes, for the whole household",500,450,40,10000,300,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,more than 20% over,more than 20% over,accurate,more than 20% over,accurate
111,111,25-34,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,180,40,6400,153,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Undercharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Pre Planned,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Underestimated,Accurate,Accurate,Underestimated,5-20% over,more than 20% under,accurate,5-20% under,more than 20% under
112,112,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",500,450,42,12000,300,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,more than 20% over,more than 20% over,accurate,more than 20% over,accurate
113,113,25-34,Female,Kolkata,0,"Yes, but only for myself",450,400,42,9000,250,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Indifferent,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Overestimated,Accurate,Accurate,Accurate,more than 20% over,more than 20% over,accurate,more than 20% over,5-20% under
114,114,25-34,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",260,130,35,6670,150,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Undercharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Pre Planned,Less Frequent,0.2,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Underestimated,Accurate,Accurate,Underestimated,accurate,more than 20% under,5-20% under,accurate,more than 20% under
115,115,25-34,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",450,300,50,9500,250,Fairly Charged,Overcharged,Overcharged,Overcharged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Accurate,Overestimated,Accurate,Accurate,more than 20% over,accurate,more than 20% over,more than 20% over,5-20% under
116,116,18-24,Male,Other,"Below Rs. 50,000",No,350,300,40,16000,200,Undercharged,Undercharged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Cash,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Accurate,Accurate,Overestimated,Underestimated,more than 20% over,accurate,accurate,more than 20% over,more than 20% under
117,117,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,450,48,12000,300,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,,,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,more than 20% over,more than 20% over,5-20% over,more than 20% over,accurate
118,118,18-24,Male,Other,"Below Rs. 50,000","Yes, for the whole household",300,290,30,15000,170,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0.2,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,5-20% over,accurate,more than 20% under,more than 20% over,more than 20% under
119,119,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",400,350,40,11000,200,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Indifferent,Indifferent,Spontaneous,More Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,more than 20% over,5-20% over,accurate,more than 20% over,more than 20% under
120,120,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,290,190,45,4999,150,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Fairly Charged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,,Indifferent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Underestimated,5-20% over,more than 20% under,5-20% over,more than 20% under,more than 20% under
121,121,18-24,Male,Delhi/NCR,"Below Rs. 50,000",No,200,200,40,4000,100,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Fairly Charged,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Indifferent,Indifferent,Spontaneous,Indifferent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Accurate,Underestimated,Underestimated,5-20% under,more than 20% under,accurate,more than 20% under,more than 20% under
122,122,18-24,Female,Kolkata,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,250,40,7500,280,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Indifferent,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Accurate,more than 20% over,5-20% under,accurate,5-20% over,5-20% under
123,123,18-24,Male,Other,"Below Rs. 50,000",No,200,200,45,6599,150,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Undercharged,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Indifferent,Indifferent,Spontaneous,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Accurate,Accurate,Underestimated,5-20% under,more than 20% under,5-20% over,5-20% under,more than 20% under
124,124,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",340,500,40,9000,250,Overcharged,Fairly Charged,Overcharged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Accurate,more than 20% over,more than 20% over,accurate,more than 20% over,5-20% under
125,125,25-34,Male,Delhi/NCR,"Below Rs. 50,000",No,250,180,40,7000,200,Undercharged,Fairly Charged,Undercharged,Overcharged,Undercharged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Indifferent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Underestimated,Accurate,Accurate,Underestimated,accurate,more than 20% under,accurate,accurate,more than 20% under
126,126,25-34,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",350,300,80,8000,100,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Overestimated,Accurate,Overestimated,Accurate,Underestimated,more than 20% over,accurate,more than 20% over,5-20% over,more than 20% under
127,127,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",350,600,30,15000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Overestimated,Underestimated,Overestimated,Overestimated,more than 20% over,more than 20% over,more than 20% under,more than 20% over,more than 20% over
128,128,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",360,320,40,5999,200,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Indifferent,Indifferent,Pre Planned,Indifferent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Accurate,Underestimated,Underestimated,more than 20% over,5-20% over,accurate,5-20% under,more than 20% under
129,129,18-24,Female,Other,"Below Rs. 50,000","Yes, but only for myself",300,250,35,15000,120,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Less Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,5-20% over,5-20% under,5-20% under,more than 20% over,more than 20% under
130,130,25-34,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,280,25,15000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,More Frequent,0.2,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,5-20% over,5-20% under,more than 20% under,more than 20% over,more than 20% under
131,131,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000",No,380,280,40,6999,320,Fairly Charged,Fairly Charged,Undercharged,Fairly Charged,Undercharged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.2,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Accurate,Accurate,Accurate,Accurate,more than 20% over,5-20% under,accurate,accurate,5-20% over
132,132,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,400,250,30,15000,200,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Underestimated,Overestimated,Underestimated,more than 20% over,5-20% under,more than 20% under,more than 20% over,more than 20% under
133,133,35-54,Female,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",250,200,40,2000,400,Fairly Charged,Overcharged,Overcharged,Overcharged,Overcharged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Cash,Online,Spontaneous,More Frequent,0.1,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Accurate,Underestimated,Overestimated,accurate,more than 20% under,accurate,more than 20% under,more than 20% over
134,134,35-54,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",250,200,40,7800,290,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Indifferent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Accurate,Accurate,Accurate,accurate,more than 20% under,accurate,5-20% over,accurate
135,135,25-34,Male,Delhi/NCR,"Below Rs. 50,000",No,450,350,50,9999,200,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Undercharged,No,No,No,No,No,Yes,No,Yes,Yes,No,Indifferent,Indifferent,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,more than 20% over,5-20% over,more than 20% over,more than 20% over,more than 20% under
136,136,35-54,Female,Other,"Rs. 50,000- 2,00,000",No,200,350,60,6000,290,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,No Time,Accurate,Overestimated,Overestimated,Underestimated,Accurate,5-20% under,5-20% over,more than 20% over,5-20% under,accurate
137,137,25-34,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000",0,199,180,40,8999,220,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,No,No,No,No,No,No,No,Yes,Yes,No,Digital,Indifferent,Indifferent,Less Frequent,0.1,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Underestimated,Underestimated,Accurate,Accurate,Underestimated,more than 20% under,more than 20% under,accurate,more than 20% over,more than 20% under
138,138,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",250,295,40,15000,170,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,Yes,No,Yes,No,No,No,No,Yes,No,No,Digital,Online,Indifferent,Indifferent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,accurate,accurate,accurate,more than 20% over,more than 20% under
139,139,18-24,Female,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,180,50,4500,120,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Overcharged,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Underestimated,Overestimated,Underestimated,Underestimated,5-20% under,more than 20% under,more than 20% over,more than 20% under,more than 20% under
140,140,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",350,200,45,7999,290,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,Undercharged,No,No,No,No,No,No,No,Yes,No,No,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Accurate,Accurate,Accurate,more than 20% over,more than 20% under,5-20% over,5-20% over,accurate
141,141,25-34,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",400,320,45,7000,270,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Undercharged,No,No,No,No,No,No,No,No,Yes,No,Indifferent,Indifferent,Spontaneous,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Accurate,more than 20% over,5-20% over,5-20% over,accurate,5-20% under
142,142,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,250,75,10000,150,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Fairly Charged,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,5-20% over,5-20% under,more than 20% over,more than 20% over,more than 20% under
143,143,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",300,290,40,6500,245,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Undercharged,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Indifferent,Indifferent,Pre Planned,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Accurate,Accurate,Accurate,5-20% over,accurate,accurate,5-20% under,5-20% under
144,144,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",450,400,60,5000,350,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Overestimated,Overestimated,Underestimated,Accurate,more than 20% over,more than 20% over,more than 20% over,more than 20% under,5-20% over
145,145,35-54,Female,Mumbai,"Rs. 50,000- 2,00,000",No,250,400,40,10000,300,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Pre Planned,More Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,accurate,more than 20% over,accurate,more than 20% over,accurate
146,146,18-24,Female,Other,"Rs. 50,000- 2,00,000",No,250,300,50,15000,100,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,accurate,accurate,more than 20% over,more than 20% over,more than 20% under
147,147,35-54,Male,Mumbai,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,450,50,8000,150,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Accurate,Underestimated,more than 20% over,more than 20% over,more than 20% over,5-20% over,more than 20% under
148,148,18-24,Male,Mumbai,"Below Rs. 50,000",No,350,400,40,10000,120,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,more than 20% over,more than 20% over,accurate,more than 20% over,more than 20% under
149,149,25-34,Female,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",400,400,90,2000,110,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Overestimated,Underestimated,Underestimated,more than 20% over,more than 20% over,more than 20% over,more than 20% under,more than 20% under
150,150,25-34,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",250,300,60,3000,85,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,No,No,No,No,No,Yes,No,Yes,No,No,Digital,Online,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,accurate,accurate,more than 20% over,more than 20% under,more than 20% under
151,151,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",300,250,45,2500,75,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Overcharged,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Cash,Offline,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Accurate,Underestimated,Underestimated,5-20% over,5-20% under,5-20% over,more than 20% under,more than 20% under
152,152,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",350,450,50,10000,100,Overcharged,Overcharged,Overcharged,Fairly Charged,Fairly Charged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,more than 20% over,more than 20% over,more than 20% over,more than 20% over,more than 20% under
153,153,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",250,350,50,15000,200,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Cash,Offline,Spontaneous,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Overestimated,Underestimated,accurate,5-20% over,more than 20% over,more than 20% over,more than 20% under
154,154,18-24,Male,Mumbai,"Rs. 2,00,000- 5,00,000",No,350,400,50,15000,200,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,more than 20% over,more than 20% over,more than 20% over,more than 20% over,more than 20% under
155,155,18-24,Male,Mumbai,"Rs. 50,000- 2,00,000","Yes, for the whole household",300,400,40,8000,100,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Underestimated,5-20% over,more than 20% over,accurate,5-20% over,more than 20% under
156,156,25-34,Female,Other,"Below Rs. 50,000",No,200,200,40,10000,100,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,5-20% under,more than 20% under,accurate,more than 20% over,more than 20% under
