,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount,brand charges more than another,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel_numeric,Food and dishes_numeric,Commodities and groceries_numeric,Productivity; gadgets and technology_numeric,Lifestyle; beauty and clothing_numeric,Payment Preference,Shopping Preference,Spontaneous or Preplanned,Transaction Frequency
117,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,300,200,50,25000,700,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,0,0,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Overestimated,1,1,1,1,1,5,5,4,4
118,55+,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",300,250,80,4000,80,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,1,1,1,1,0,1,1,1,1,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,1,1,2,1,4,3,4,3
119,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,200,500,30,25000,600,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,2,2,5,5,5,5
120,25-34,Male,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,500,40,25000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,0,0,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,1,1,5,5,4,4
121,18-24,Female,Bangalore,"Rs. 50,000- 2,00,000",No,150,199,12,26000,260,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,0,1,1,1,1,0,1,1,Digital,Indifferent,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Underestimated,Underestimated,Underestimated,Overestimated,Accurate,1,1,1,2,2,5,3,3,4
122,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,300,500,40,10000,600,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,1,1,5,5,4,5
123,25-34,Male,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",290,150,40,6350,310,Fairly Charged,Undercharged,Undercharged,Fairly Charged,Undercharged,1,1,1,1,0,1,1,1,1,1,Indifferent,Online,Indifferent,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Accurate,1,0,0,1,0,3,4,3,3
124,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",330,200,40,7400,125,Fairly Charged,Fairly Charged,Undercharged,Undercharged,Fairly Charged,1,1,0,0,0,1,1,1,1,1,Digital,Offline,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,1,1,0,0,1,4,2,3,3
125,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",315,245,50,5300,155,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,2,1,1,2,1,4,4,2,2
126,25-34,Female,Mumbai,"Below Rs. 50,000",No,300,500,30,20000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,0,0,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,1,5,5,5,5
127,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",250,350,40,10000,200,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,1,1,1,1,1,1,1,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,2,1,1,1,5,3,5,3
128,25-34,Male,Kolkata,"Below Rs. 50,000","Yes, but only for myself",300,500,40,25000,500,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,1,0,1,1,1,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,1,1,5,5,4,4
129,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,290,45,7800,200,Overcharged,Fairly Charged,Overcharged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,2,1,2,2,2,4,3,2,2
130,55+,Female,Mumbai,"Rs. 50,000- 2,00,000",No,300,400,50,15000,600,Fairly Charged,Overcharged,Overcharged,Fairly Charged,Overcharged,0,0,0,0,1,1,1,1,1,1,Digital,Online,Spontaneous,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Overestimated,1,2,2,1,2,4,4,4,3
131,55+,Male,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,500,40,15000,400,Overcharged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,0,1,0,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,2,2,5,3,1,1
132,35-54,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,290,45,7000,220,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,1,1,1,1,1,4,4,1,1
133,25-34,Male,Other,"Below Rs. 50,000",No,200,300,30,10000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,0,0,0,1,1,1,1,1,1,Digital,Indifferent,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Underestimated,Overestimated,Overestimated,1,1,1,1,1,5,3,4,4
134,35-54,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",350,290,45,7000,220,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,2,2,2,2,2,4,3,1,1
135,25-34,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",400,500,40,10000,500,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,0,0,1,0,1,1,1,1,1,1,Digital,Indifferent,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,1,2,1,1,1,4,3,3,4
136,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,290,45,6500,245,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Accurate,Accurate,2,2,2,2,2,4,3,2,1
137,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",400,400,40,15000,500,Fairly Charged,Overcharged,Fairly Charged,Fairly Charged,Overcharged,0,0,0,0,1,1,1,1,0,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,1,2,1,1,2,5,5,4,4
138,18-24,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,350,100,4999,300,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,0,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Overestimated,Overestimated,Underestimated,Accurate,2,1,1,2,2,5,5,1,1
139,35-54,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,450,35,20000,600,Fairly Charged,Overcharged,Overcharged,Overcharged,Fairly Charged,0,0,0,0,0,1,1,1,1,1,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,2,2,2,1,5,5,1,1
140,35-54,Male,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,500,30,20000,700,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,1,0,0,1,1,1,1,0,Digital,Online,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,2,2,2,2,2,5,5,2,2
141,25-34,Male,Other,"Below Rs. 50,000",No,200,450,45,15000,650,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,2,2,5,4,4,4
142,55+,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,250,45,6500,220,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,1,1,1,1,1,1,1,1,1,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,1,2,1,2,2,4,3,1,5
143,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,300,350,30,6000,250,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,1,1,1,0,0,1,1,Digital,Offline,Spontaneous,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Underestimated,Underestimated,Accurate,1,1,1,2,2,5,2,5,4
144,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,400,350,170,15000,399,Overcharged,Fairly Charged,Overcharged,Fairly Charged,Overcharged,0,1,1,0,1,1,1,1,0,0,Digital,Online,Spontaneous,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Overestimated,2,1,2,1,2,5,5,5,2
145,25-34,Female,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",310,200,50,4999,190,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,1,1,1,0,1,1,1,1,1,1,Indifferent,Indifferent,Spontaneous,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,1,1,1,2,1,3,3,5,3
146,55+,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,300,40,5000,220,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,0,1,1,1,1,1,1,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Accurate,Accurate,Underestimated,Underestimated,1,1,1,1,1,3,3,3,3
147,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,300,250,100,11000,400,Overcharged,Overcharged,Undercharged,Fairly Charged,Fairly Charged,0,1,1,1,0,1,1,0,1,1,Digital,Offline,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Overestimated,2,2,0,1,1,4,2,3,2
148,18-24,Other,Delhi/NCR,"Above Rs. 5,00,000",No,350,550,40,6000,400,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Overcharged,0,1,1,0,0,1,0,1,1,0,Digital,Offline,Indifferent,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Overestimated,Overestimated,Accurate,Underestimated,Overestimated,1,1,2,2,2,5,1,3,1
149,35-54,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,400,50,10000,250,Overcharged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,0,1,1,1,Digital,Indifferent,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Accurate,2,1,1,2,2,5,3,3,4
150,18-24,Female,Mumbai,,No,400,600,150,10000,250,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Indifferent,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,2,1,1,1,2,4,3,3,2
151,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",500,700,20,50000,100,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,0,1,1,0,0,1,1,1,1,1,Cash,Indifferent,Indifferent,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Overestimated,Overestimated,Underestimated,Overestimated,Underestimated,2,1,1,1,2,1,3,3,1
152,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,350,45,8000,220,Overcharged,Overcharged,Overcharged,Fairly Charged,Overcharged,1,1,1,1,0,1,1,1,1,1,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,2,2,2,1,2,5,4,3,4
153,35-54,Female,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",200,450,40,20000,100,Undercharged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,1,1,1,1,Cash,Indifferent,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,0,1,1,1,2,1,3,3,4
154,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",,,,,,Undercharged,Fairly Charged,Overcharged,Undercharged,Fairly Charged,1,0,1,0,0,1,0,0,1,0,Digital,Indifferent,Indifferent,Indifferent,0.2,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Accurate,Accurate,Accurate,Accurate,0,1,2,0,1,4,3,3,3
155,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,250,40,1500,300,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,,,,,,1,1,0,0,0,Cash,Online,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Accurate,Underestimated,Accurate,1,1,1,2,1,2,4,4,4
156,25-34,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",150,200,40,5000,150,Fairly Charged,Overcharged,Overcharged,Overcharged,Overcharged,1,0,1,1,0,1,1,1,1,0,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Underestimated,Accurate,Accurate,Underestimated,Underestimated,1,2,2,2,2,5,5,5,5
157,18-24,Male,Delhi/NCR,"Above Rs. 5,00,000",No,380,280,70,18000,200,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,1,1,0,1,1,1,1,1,1,1,Digital,Online,Indifferent,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,No Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,1,1,1,2,1,5,4,3,4
158,25-34,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,220,20,20000,200,Fairly Charged,Overcharged,Fairly Charged,Overcharged,Overcharged,0,1,1,0,0,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,1,2,1,2,2,5,3,1,1
159,25-34,Female,Kolkata,"Above Rs. 5,00,000","Yes, for the whole household",380,280,50,15000,175,Fairly Charged,Fairly Charged,Undercharged,Overcharged,Overcharged,1,0,1,0,0,0,0,1,,1,Indifferent,Indifferent,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,1,1,0,2,2,3,3,4,4
160,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",380,280,50,18000,275,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,0,1,1,0,1,1,0,0,1,Indifferent,Indifferent,Indifferent,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,2,2,2,2,2,3,3,3,3
161,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,550,30,20000,500,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,0,0,0,0,0,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,1,5,5,5,5
162,18-24,Female,Other,"Below Rs. 50,000",No,250,300,30,16000,150,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Overcharged,1,1,1,0,1,1,1,1,1,1,Cash,Offline,Pre Planned,Less Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,1,1,1,2,2,2,2,2,2
163,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,250,40,1500,300,Fairly Charged,Fairly Charged,Overcharged,Overcharged,Fairly Charged,1,1,1,0,1,0,0,0,1,1,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Accurate,Underestimated,Accurate,1,1,2,2,1,5,3,4,4
164,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",220,280,70,18000,200,Fairly Charged,Undercharged,Undercharged,Fairly Charged,Overcharged,0,0,1,0,1,1,1,0,1,0,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,1,0,0,1,2,5,5,5,5
165,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,600,40,20000,400,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,1,1,1,1,1,1,0,0,0,1,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,1,2,5,5,5,5
166,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,280,50,14000,200,,,Undercharged,Undercharged,Fairly Charged,1,0,0,0,1,1,1,0,0,1,Digital,Offline,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,,,0,0,1,4,2,3,3
167,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",100,100,500,5000,200,Overcharged,Overcharged,Overcharged,Overcharged,Overcharged,0,1,1,1,0,0,1,0,0,0,Digital,Offline,Spontaneous,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Underestimated,Underestimated,Overestimated,Underestimated,Underestimated,2,2,2,2,2,5,1,5,3
168,55+,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",500,200,40,9000,295,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,0,1,1,0,1,1,1,1,0,1,Indifferent,Indifferent,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Accurate,Accurate,Accurate,1,1,1,2,1,3,3,5,5
169,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",200,100,40,4500,85,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Digital,Offline,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Underestimated,1,1,1,1,1,4,2,4,2
170,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",420,220,50,5290,60,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,0,1,1,1,1,1,1,Indifferent,Indifferent,Pre Planned,More Frequent,More than 20%,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,1,1,1,1,1,3,3,2,4
171,25-34,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,420,40,6000,220,Overcharged,Overcharged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Underestimated,Underestimated,2,2,1,1,1,4,3,2,2
172,25-34,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",550,450,40,9000,45,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,1,Indifferent,Indifferent,Spontaneous,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,1,1,1,1,1,3,3,4,2
173,25-34,Male,Kolkata,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",400,380,38,4000,208,Fairly Charged,Fairly Charged,Fairly Charged,Overcharged,Fairly Charged,1,1,1,0,1,1,1,1,1,1,Indifferent,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Underestimated,Underestimated,1,1,1,2,1,3,3,5,5
174,25-34,Male,Other,"Above Rs. 5,00,000","Yes, but only for myself",420,450,35,9200,180,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,Fairly Charged,1,1,1,1,1,1,1,1,1,0,Indifferent,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,1,1,1,1,1,3,3,2,2
