,Unnamed: 0,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount_online,brand charges more than another_online,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Age_encoded,feeling towards discount,brand charges more than another,Payment Preference,Shopping Preference,Spontaneous or Preplanned,Transaction Frequency
125,125,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",315,245,50,5300,155,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,2,1,1,2,1,1,0,1,4,4,2,2
126,126,25-34,Female,Mumbai,"Below Rs. 50,000",No,300,500,30,20000,400,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,1,1,0,1,5,5,5,5
127,127,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",250,350,40,10000,200,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,2,1,1,1,0,1,2,5,3,5,3
128,128,25-34,Male,Kolkata,"Below Rs. 50,000","Yes, but only for myself",300,500,40,25000,500,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,1,1,1,1,0,5,5,4,4
129,129,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,290,45,7800,200,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,2,1,2,2,2,1,1,0,4,3,2,2
130,130,55+,Female,Mumbai,"Rs. 50,000- 2,00,000",No,300,400,50,15000,600,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Overestimated,1,2,2,1,2,3,2,2,4,4,4,3
131,131,55+,Male,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,500,40,15000,400,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,2,2,3,1,2,5,3,1,1
132,132,35-54,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,290,45,7000,220,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,1,1,1,1,1,2,1,0,4,4,1,1
133,133,25-34,Male,Other,"Below Rs. 50,000",No,200,300,30,10000,400,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Underestimated,Overestimated,Overestimated,1,1,1,1,1,1,1,0,5,3,4,4
134,134,35-54,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",350,290,45,7000,220,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,2,2,2,2,2,2,1,2,4,3,1,1
135,135,25-34,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",400,500,40,10000,500,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,1,2,1,1,1,1,1,1,4,3,3,4
136,136,35-54,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,290,45,6500,245,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Accurate,Accurate,2,2,2,2,2,2,1,2,4,3,2,1
137,137,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",400,400,40,15000,500,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,1,2,1,1,2,1,1,0,5,5,4,4
138,138,18-24,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,350,100,4999,300,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Accurate,Overestimated,Overestimated,Underestimated,Accurate,2,1,1,2,2,0,1,1,5,5,1,1
139,139,35-54,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,450,35,20000,600,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,2,2,2,1,2,1,0,5,5,1,1
140,140,35-54,Male,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,500,30,20000,700,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Digital,Online,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,2,2,2,2,2,2,2,2,5,5,2,2
141,141,25-34,Male,Other,"Below Rs. 50,000",No,200,450,45,15000,650,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,2,2,1,1,1,5,4,4,4
142,142,55+,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,250,45,6500,220,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",No Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,1,2,1,2,2,3,1,1,4,3,1,5
143,143,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,300,350,30,6000,250,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Underestimated,Underestimated,Accurate,1,1,1,2,2,0,2,2,5,2,5,4
144,144,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,400,350,170,15000,399,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Digital,Online,Spontaneous,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Overestimated,2,1,2,1,2,0,1,1,5,5,5,2
145,145,25-34,Female,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",310,200,50,4999,190,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,1,1,1,2,1,1,1,1,3,3,5,3
146,146,55+,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,300,40,5000,220,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Accurate,Accurate,Underestimated,Underestimated,1,1,1,1,1,3,0,0,3,3,3,3
147,147,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,300,250,100,11000,400,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Digital,Offline,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Overestimated,2,2,0,1,1,0,1,1,4,2,3,2
148,148,18-24,Other,Delhi/NCR,"Above Rs. 5,00,000",No,350,550,40,6000,400,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Digital,Offline,Indifferent,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Overestimated,Overestimated,Accurate,Underestimated,Overestimated,1,1,2,2,2,0,2,1,5,1,3,1
149,149,35-54,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,400,50,10000,250,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Digital,Indifferent,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Accurate,2,1,1,2,2,2,1,0,5,3,3,4
150,150,18-24,Female,Mumbai,,No,400,600,150,10000,250,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Indifferent,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,2,1,1,1,2,0,2,1,4,3,3,2
151,151,18-24,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",500,700,20,50000,100,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Cash,Indifferent,Indifferent,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Overestimated,Overestimated,Underestimated,Overestimated,Underestimated,2,1,1,1,2,0,2,1,1,3,3,1
152,152,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000","Yes, for the whole household",350,350,45,8000,220,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,2,2,2,1,2,0,1,2,5,4,3,4
153,153,35-54,Female,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",200,450,40,20000,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Indifferent,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,0,1,1,1,2,2,0,2,1,3,3,4
154,154,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Digital,Indifferent,Indifferent,Indifferent,0.2,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Accurate,Accurate,Accurate,Accurate,0,1,2,0,1,0,1,1,4,3,3,3
155,155,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,250,40,1500,300,,,,,,Yes,Yes,No,No,No,Cash,Online,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Accurate,Underestimated,Accurate,1,1,1,2,1,0,0,0,2,4,4,4
156,156,25-34,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",150,200,40,5000,150,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Underestimated,Accurate,Accurate,Underestimated,Underestimated,1,2,2,2,2,1,0,0,5,5,5,5
157,157,18-24,Male,Delhi/NCR,"Above Rs. 5,00,000",No,380,280,70,18000,200,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,No Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,1,1,1,2,1,0,2,2,5,4,3,4
158,158,25-34,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,220,20,20000,200,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,1,2,1,2,2,1,0,0,5,3,1,1
159,159,25-34,Female,Kolkata,"Above Rs. 5,00,000","Yes, for the whole household",380,280,50,15000,175,Yes,No,Yes,No,No,No,No,Yes,,Yes,Indifferent,Indifferent,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Underestimated,1,1,0,2,2,1,1,1,3,3,4,4
160,160,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",380,280,50,18000,275,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,2,2,2,2,2,0,2,2,3,3,3,3
161,161,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,550,30,20000,500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,1,0,2,2,5,5,5,5
162,162,18-24,Female,Other,"Below Rs. 50,000",No,250,300,30,16000,150,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cash,Offline,Pre Planned,Less Frequent,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,1,1,1,2,2,0,1,2,2,2,2,2
163,163,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,250,40,1500,300,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Accurate,Underestimated,Accurate,1,1,2,2,1,0,0,0,5,3,4,4
164,164,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",220,280,70,18000,200,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,1,0,0,1,2,0,2,2,5,5,5,5
165,165,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,600,40,20000,400,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,1,2,0,1,2,5,5,5,5
166,166,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",300,280,50,14000,200,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Digital,Offline,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,,,0,0,1,0,1,2,4,2,3,3
167,167,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",100,100,500,5000,200,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Digital,Offline,Spontaneous,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Underestimated,Underestimated,Overestimated,Underestimated,Underestimated,2,2,2,2,2,0,2,0,5,1,5,3
168,168,55+,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",500,200,40,9000,295,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Indifferent,Indifferent,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Overestimated,Accurate,Accurate,Accurate,Accurate,1,1,1,2,1,3,1,1,3,3,5,5
169,169,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",200,100,40,4500,85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Underestimated,1,1,1,1,1,1,1,1,4,2,4,2
170,170,25-34,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",420,220,50,5290,60,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Pre Planned,More Frequent,More than 20%,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,1,1,1,1,1,1,0,1,3,3,2,4
171,171,25-34,Female,Mumbai,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,420,40,6000,220,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Underestimated,Underestimated,2,2,1,1,1,1,0,0,4,3,2,2
172,172,25-34,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",550,450,40,9000,45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,1,1,1,1,1,1,0,0,3,3,4,2
173,173,25-34,Male,Kolkata,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",400,380,38,4000,208,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Underestimated,Underestimated,1,1,1,2,1,1,0,0,3,3,5,5
174,174,25-34,Male,Other,"Above Rs. 5,00,000","Yes, but only for myself",420,450,35,9200,180,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Indifferent,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Overestimated,Accurate,Accurate,Underestimated,1,1,1,1,1,1,0,2,3,3,2,2
175,175,25-34,Female,Bangalore,"Above Rs. 5,00,000","Yes, for the whole household",600,500,40,11500,150,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Indifferent,Indifferent,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Underestimated,1,2,1,2,1,1,2,1,3,3,2,2
176,176,35-54,Male,Delhi/NCR,"Above Rs. 5,00,000","Yes, for the whole household",400,250,35,6500,110,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,1,1,1,1,1,2,1,1,3,3,,3
177,177,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",480,450,40,9500,350,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Less Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Accurate,Accurate,1,2,1,2,1,1,0,2,3,3,3,2
178,178,25-34,Female,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",450,350,42,12000,350,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Indifferent,Indifferent,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,1,1,1,1,,1,0,0,3,3,2,2
179,179,18-24,Female,Kolkata,"Below Rs. 50,000",No,300,250,45,7800,95,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Pre Planned,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Accurate,Accurate,Underestimated,1,1,1,2,1,0,1,0,3,4,2,4
180,180,25-34,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",600,500,50,8500,300,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Accurate,Accurate,1,1,1,1,2,1,1,0,3,2,2,2
181,181,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,400,350,60,10000,150,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,1,1,1,2,0,1,1,5,2,4,4
182,182,25-34,Male,Mumbai,"Above Rs. 5,00,000","Yes, for the whole household",500,450,40,10000,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,1,1,1,1,1,1,0,0,3,2,2,2
183,183,25-34,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,180,40,6400,153,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Pre Planned,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Underestimated,Accurate,Accurate,Underestimated,1,1,1,1,0,1,1,1,3,3,2,4
184,184,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",500,450,42,12000,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Pre Planned,Less Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,2,2,1,1,1,1,0,0,3,2,2,2
185,185,25-34,Female,Kolkata,,"Yes, but only for myself",450,400,42,9000,250,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Offline,Indifferent,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Overestimated,Accurate,Accurate,Accurate,2,1,1,1,1,1,1,2,3,2,3,2
186,186,25-34,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",260,130,35,6670,150,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Pre Planned,Less Frequent,0.2,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Underestimated,Accurate,Accurate,Underestimated,1,1,1,1,0,1,0,0,3,5,1,2
